latency,type,problem
0,1,1
22.01,1,1
44.072,3,3
66.145,19,19
88.212,3,3
110.284,1,1
132.353,3,3
154.41,3,3
176.475,19,19
198.537,17,17
220.605,3,3
242.677,1,1
264.762,1,1
286.82,3,3
308.89,3,3
331.008,3,3
353.113,19,19
375.191,11,11
397.293,1,1
419.399,1,1
441.471,3,3
463.503,17,17
485.557,19,19
507.642,1,1
529.757,1,1
551.809,1,1
573.881,1,1
595.952,17,17
617.988,3,3
640.044,3,3
662.144,1,1
684.249,3,3
706.327,3,3
728.405,3,3
750.48,17,17
772.529,17,17
794.565,3,3
816.623,3,3
838.725,17,17
860.781,3,3
882.854,3,3
904.938,19,19
927.0,1,1
949.056,1,1
971.139,1,1
993.228,3,3
1015.313,1,1
1037.421,1,1
1059.473,1,1
1081.551,3,3
1103.658,1,1
1125.707,1,1
1147.791,1,1
1169.903,1,1
1191.957,3,3
1214.026,19,19
1541.738,7,7
1563.833,5,5
1585.889,7,7
1607.94,7,7
1630.072,13,13
1652.143,7,7
1674.225,5,5
1696.291,7,7
1718.49,21,21
1740.566,5,5
1762.622,7,7
1784.713,21,21
1806.805,5,5
1828.876,15,15
1850.945,5,5
1873.048,7,7
1895.118,5,5
1917.188,5,5
1939.268,7,7
1961.345,5,5
1983.412,15,15
2005.48,7,7
2027.565,7,7
2049.626,5,5
2071.714,5,5
2093.802,23,23
2115.857,5,5
2137.925,7,7
2160.036,7,7
2182.089,23,23
2204.172,5,5
2226.257,23,23
2248.297,7,7
2270.36,5,5
2292.431,5,5
2314.52,13,13
2336.589,5,5
2358.67,21,21
2380.772,5,5
2402.828,5,5
2424.923,7,7
2447.023,7,7
2469.076,23,23
2491.142,23,23
2513.252,5,5
2535.322,5,5
2557.395,7,7
2579.47,7,7
2601.507,7,7
2623.559,7,7
2645.625,5,5
2667.702,5,5
2689.757,5,5
2711.805,7,7
2733.87,7,7
2756.0,5,5
