latency,type,problem
0,13,13
22.079,5,5
44.161,7,7
66.259,15,15
88.399,15,15
110.462,5,5
132.518,15,15
154.59,15,15
176.672,15,15
198.792,13,13
220.852,7,7
242.928,5,5
287.087,7,7
309.186,15,15
331.26,7,7
353.314,15,15
375.394,15,15
397.525,13,13
419.582,5,5
441.733,7,7
463.79,13,13
485.849,15,15
507.924,5,5
530.009,5,5
552.075,5,5
574.204,13,13
596.262,5,5
618.347,7,7
640.438,7,7
662.496,5,5
684.567,7,7
706.655,7,7
728.73,7,7
750.78,13,13
772.874,13,13
794.968,7,7
817.018,7,7
839.106,13,13
861.223,7,7
883.268,15,15
905.344,15,15
927.427,5,5
949.469,13,13
971.537,13,13
993.617,7,7
1015.678,5,5
1037.713,5,5
1059.777,5,5
1081.889,15,15
1103.935,5,5
1125.982,5,5
1148.037,5,5
1170.136,5,5
1192.227,7,7
1214.291,15,15
1585.631,11,11
1607.716,1,1
1629.801,11,11
1651.879,3,3
1673.956,9,9
1696.015,3,3
1718.1,1,1
1740.161,3,3
1762.231,9,9
1784.335,1,1
1806.411,3,3
1828.505,9,9
1850.599,1,1
1872.652,11,11
1894.728,1,1
1916.814,11,11
1938.861,1,1
1960.904,1,1
1982.962,11,11
2005.058,1,1
2027.137,11,11
2049.211,11,11
2071.282,3,3
2093.338,1,1
2115.408,1,1
2137.561,11,11
2159.602,9,9
2181.669,3,3
2203.797,3,3
2225.901,11,11
2248.008,1,1
2270.075,11,11
2292.133,3,3
2314.26,1,1
2336.305,9,9
2358.353,10,10
2380.407,1,1
2402.522,9,9
2424.585,9,9
2446.687,9,9
2468.772,3,3
2490.838,3,3
2512.92,11,11
2535.023,11,11
2557.086,9,9
2579.162,1,1
2601.254,3,3
2623.339,3,3
2645.468,11,11
2667.522,11,11
2689.617,1,1
2711.705,1,1
2733.773,1,1
2755.865,3,3
2777.986,3,3
2800.035,1,1
