latency,type,problem
0,9,9
21.857,1,1
43.969,11,11
66.027,11,11
88.086,3,3
110.149,9,9
132.249,3,3
154.316,3,3
176.415,11,11
198.484,9,9
220.559,3,3
242.619,1,1
264.74,9,9
286.825,3,3
308.928,3,3
330.974,3,3
353.036,11,11
375.124,11,11
397.239,9,9
419.31,1,1
441.391,3,3
463.438,9,9
485.52,12,12
507.617,9,9
529.686,1,1
551.75,1,1
573.847,9,9
595.941,9,9
618.024,3,3
640.094,3,3
662.195,1,1
684.245,11,11
706.323,3,3
728.407,3,3
750.482,9,9
772.554,9,9
794.636,11,11
816.702,3,3
838.764,9,9
860.845,3,3
882.883,3,3
904.967,11,11
927.042,1,1
949.122,9,9
971.177,9,9
993.248,4,4
1015.34,1,1
1037.394,1,1
1059.445,1,1
1081.498,3,3
1103.63,1,1
1125.705,1,1
1147.816,1,1
1169.89,9,9
1191.971,3,3
1214.069,11,11
1554.421,7,7
1576.55,5,5
1598.637,15,15
1620.717,7,7
1642.825,13,13
1664.917,15,15
1687.03,5,5
1709.112,7,7
1731.19,13,13
1753.271,13,13
1775.323,15,15
1797.393,13,13
1819.515,5,5
1841.636,15,15
1863.7,5,5
1885.821,15,15
1907.926,5,5
1930.015,13,13
1952.087,7,7
1974.155,5,5
1996.232,15,15
2018.288,15,15
2040.338,7,7
2062.457,5,5
2084.554,13,13
2106.627,15,15
2128.751,13,13
2150.813,7,7
2172.901,7,7
2194.996,15,15
2217.061,5,5
2239.163,15,15
2261.241,7,7
2283.287,5,5
2305.339,13,13
2327.438,14,14
2349.502,5,5
2371.604,13,13
2393.707,13,13
2415.757,13,13
2437.819,7,7
2459.95,15,15
2482.013,15,15
2504.114,15,15
2526.194,13,13
2548.244,5,5
2570.294,7,7
2592.418,7,7
2614.471,15,15
2636.531,15,15
2658.629,5,5
2680.713,5,5
2702.756,5,5
2724.818,7,7
2746.91,7,7
2768.966,5,5
