latency,type,problem
0,13,13
22.031,13,13
44.113,15,15
66.25,15,15
88.298,7,7
110.357,5,5
132.459,15,15
154.501,15,15
176.564,15,15
198.642,13,13
220.704,7,7
242.796,5,5
264.872,5,5
286.933,7,7
308.988,15,15
331.031,7,7
353.088,15,15
375.175,15,15
397.239,5,5
419.314,5,5
441.422,7,7
463.464,13,13
485.509,15,15
507.622,5,5
529.69,5,5
551.754,5,5
573.832,5,5
595.923,13,13
617.965,7,7
640.023,7,7
662.109,5,5
684.179,7,7
706.223,7,7
728.315,7,7
750.371,13,13
772.412,13,13
794.461,7,7
816.575,7,7
838.663,13,13
860.729,7,7
882.855,7,7
904.919,15,15
926.995,5,5
949.09,13,13
971.162,13,13
993.24,7,7
1015.352,5,5
1037.39,5,5
1059.488,5,5
1081.585,7,7
1103.644,5,5
1125.738,5,5
1147.829,5,5
1169.872,5,5
1191.921,7,7
1213.99,15,15
1582.071,11,11
1604.115,1,1
1626.184,11,11
1648.286,3,3
1670.332,9,9
1692.399,3,3
1714.474,1,1
1736.532,3,3
1758.595,1,1
1780.659,9,9
1802.752,3,3
1824.796,9,9
1846.868,1,1
1868.958,11,11
1891.027,1,1
1913.087,3,3
1935.137,1,1
1957.196,9,9
1979.27,3,3
2001.314,1,1
2023.376,12,12
2045.486,3,3
2067.531,3,3
2089.593,1,1
2111.689,1,1
2133.758,3,3
2155.825,1,1
2177.903,3,3
2199.961,3,3
2222.003,3,3
2244.073,1,1
2266.131,11,11
2288.211,3,3
2310.249,9,9
2332.325,9,9
2354.407,9,9
2376.473,1,1
2398.517,9,9
2420.59,9,9
2442.682,1,1
2464.762,3,3
2486.837,3,3
2508.944,11,11
2531.061,11,11
2553.133,9,9
2575.19,1,1
2597.241,3,3
2619.296,3,3
2641.406,11,11
2663.447,11,11
2685.505,1,1
2707.589,1,1
2729.68,1,1
2751.737,3,3
2773.787,3,3
2795.91,1,1
