latency,type,problem
0,13,13
21.968,5,5
44.075,7,7
66.122,15,15
88.185,7,7
110.283,5,5
132.349,15,15
154.418,7,7
176.607,15,15
198.683,13,13
220.78,7,7
242.857,5,5
264.928,21,21
287.015,7,7
309.089,15,15
331.168,7,7
353.248,15,15
375.323,15,15
397.386,13,13
419.501,5,5
441.553,7,7
463.627,13,13
485.717,15,15
507.771,5,5
529.811,5,5
551.839,5,5
573.937,13,13
595.988,13,13
618.04,7,7
640.111,7,7
662.209,5,5
684.258,7,7
706.321,7,7
728.41,7,7
750.46,13,13
772.516,13,13
794.563,7,7
816.618,7,7
838.743,13,13
860.806,7,7
882.905,7,7
904.972,16,16
927.043,5,5
971.192,13,13
993.24,7,7
1015.31,5,5
1037.376,5,5
1059.448,5,5
1081.513,7,7
1103.618,5,5
1125.673,5,5
1147.726,5,5
1169.797,5,5
1191.866,7,7
1213.902,15,15
1535.904,11,11
1580.035,11,11
1602.14,3,3
1624.225,9,9
1646.306,3,3
1668.336,1,1
1690.382,3,3
1712.466,9,9
1734.534,9,9
1756.604,11,11
1778.66,9,9
1800.806,1,1
1822.875,3,3
1844.926,1,1
1867.019,3,3
1889.075,1,1
1911.131,9,9
1933.206,3,3
1955.286,1,1
1977.323,11,11
1999.381,11,11
2021.455,3,3
2043.551,1,1
2065.61,1,1
2087.676,11,11
2109.768,9,9
2131.821,3,3
2153.858,3,3
2175.909,11,11
2197.97,1,1
2220.036,11,11
2242.093,3,3
2264.168,1,1
2286.263,17,17
2308.306,10,10
2330.378,1,1
2352.445,9,9
2374.532,9,9
2396.573,9,9
2418.625,3,3
2440.725,3,3
2462.779,11,11
2484.818,11,11
2506.873,1,1
2528.975,1,1
2551.026,3,3
2573.081,3,3
2595.133,11,11
2617.193,3,3
2639.258,1,1
2661.31,1,1
2683.405,1,1
2705.455,3,3
2727.51,3,3
2749.562,9,9
